call_id,customer_id,tower_id,call_type,duration_sec,cost,dropped_flag,call_date
CALL_0000001,8659-IOOPU,TOWER_024,SMS,2809,45.91,0,2025-08-26
CALL_0000002,6408-WHTEF,TOWER_037,Voice,166,8.34,0,2025-07-18
CALL_0000003,8670-ERCJH,TOWER_003,SMS,338,49.41,0,2026-01-09
CALL_0000004,5429-LWCMV,TOWER_013,Voice,1601,41.23,0,2025-11-07
CALL_0000005,9473-CBZOP,TOWER_038,Data,2521,41.86,0,2025-09-26
CALL_0000006,8752-IMQOS,TOWER_019,Voice,267,23.17,0,2025-11-12
CALL_0000007,8468-FZTOE,TOWER_042,SMS,2109,4.9,0,2025-10-08
CALL_0000008,2197-OMWGI,TOWER_019,Voice,1612,42.62,0,2026-01-31
CALL_0000009,8660-BUETV,TOWER_031,Data,1470,47.59,0,2025-07-16
CALL_0000010,3707-GNWHM,TOWER_046,Data,1713,40.37,0,2025-09-16
CALL_0000011,6651-AZVTJ,TOWER_020,SMS,1338,10.61,1,2025-11-19
CALL_0000012,9631-XEYKE,TOWER_010,Voice,326,3.03,0,2025-06-21
CALL_0000013,9117-SHLZX,TOWER_029,Voice,612,36.17,0,2026-01-09
CALL_0000014,8197-BFWVU,TOWER_045,Data,2373,12.04,0,2025-12-09
CALL_0000015,3815-SLMEF,TOWER_008,SMS,2738,47.13,0,2026-02-26
CALL_0000016,7305-ZWMAJ,TOWER_020,SMS,860,44.79,0,2026-03-17
CALL_0000017,9637-EIHEQ,TOWER_011,Data,785,17.32,0,2026-01-30
CALL_0000018,2277-AXSDC,TOWER_017,Data,765,40.64,0,2025-06-08
CALL_0000019,7868-BGSZA,TOWER_026,SMS,3534,16.25,0,2026-03-07
CALL_0000020,7029-RPUAV,TOWER_048,SMS,1730,32.95,1,2025-09-16
CALL_0000021,0118-JPNOY,TOWER_045,Voice,31,43.47,0,2025-07-25
CALL_0000022,0536-BGFMZ,TOWER_027,Voice,1995,43.79,1,2026-02-20
CALL_0000023,0415-MOSGF,TOWER_009,Voice,2101,30.24,0,2025-10-18
CALL_0000024,9168-INPSZ,TOWER_047,Voice,1712,2.02,0,2026-03-24
CALL_0000025,2673-CXQEU,TOWER_046,Data,3278,30.78,0,2025-10-17
CALL_0000026,8929-KSWIH,TOWER_031,SMS,827,10.63,0,2025-05-26
CALL_0000027,1866-ZSLJM,TOWER_048,SMS,2069,13.74,0,2026-01-14
CALL_0000028,0895-DQHEW,TOWER_038,SMS,2508,9.91,1,2025-09-08
CALL_0000029,1597-LHYNC,TOWER_003,Data,2946,29.59,1,2025-10-12
CALL_0000030,9308-ANMVE,TOWER_049,Data,183,14.3,0,2026-04-16
CALL_0000031,6837-BJYDQ,TOWER_041,Voice,1944,41.49,0,2026-04-11
CALL_0000032,4176-FXYBO,TOWER_039,SMS,946,46.16,0,2025-08-20
CALL_0000033,2025-JKFWI,TOWER_029,Data,1230,44.59,0,2026-04-24
CALL_0000034,0786-VSSUD,TOWER_015,SMS,2374,12.78,0,2026-02-14
CALL_0000035,2038-OEQZH,TOWER_015,Voice,909,47.61,0,2026-04-06
CALL_0000036,0836-SEYLU,TOWER_001,Data,196,47.94,0,2025-10-26
CALL_0000037,1094-BKOSX,TOWER_035,SMS,1708,0.92,0,2026-01-13
CALL_0000038,3727-RJMEO,TOWER_041,Data,3150,30.05,1,2025-08-01
CALL_0000039,5564-NEMQO,TOWER_038,Voice,2188,33.1,0,2025-09-24
CALL_0000040,5067-WJEUN,TOWER_016,Data,2297,36.31,0,2025-10-22
CALL_0000041,6890-PFRQX,TOWER_013,Voice,2807,21.53,0,2026-01-12
CALL_0000042,3976-HXHCE,TOWER_031,Voice,408,6.58,0,2025-07-30
CALL_0000043,3039-MJSLN,TOWER_011,SMS,1198,33.62,0,2025-10-19
CALL_0000044,6693-DJWTY,TOWER_028,Voice,2987,8.28,0,2025-11-09
CALL_0000045,3009-JWMPU,TOWER_019,Data,2222,34.61,1,2025-12-30
CALL_0000046,3858-XHYJO,TOWER_010,Voice,3495,46.86,0,2026-04-25
CALL_0000047,3511-APPBJ,TOWER_050,Data,734,5.76,0,2025-12-28
CALL_0000048,3144-AUDBS,TOWER_033,SMS,1906,25.59,0,2025-05-12
CALL_0000049,6959-UWKHF,TOWER_018,Voice,1460,39.47,0,2026-03-19
CALL_0000050,7854-EDSSA,TOWER_013,SMS,1026,36.29,0,2025-11-09
CALL_0000051,5707-ZMDJP,TOWER_050,Voice,260,8.2,0,2025-05-08
CALL_0000052,3001-CBHLQ,TOWER_045,SMS,796,23.99,0,2025-09-30
CALL_0000053,1090-PYKCI,TOWER_002,Data,3496,19.52,0,2026-02-19
CALL_0000054,2856-NNASM,TOWER_033,Data,870,8.46,0,2025-12-05
CALL_0000055,8739-QOTTN,TOWER_050,SMS,3063,34.9,0,2025-12-12
CALL_0000056,3565-UNOCC,TOWER_043,Data,2284,38.56,0,2025-11-11
CALL_0000057,8393-DLHGA,TOWER_024,Voice,172,1.92,0,2025-07-23
CALL_0000058,2796-UUZZO,TOWER_023,Voice,2723,46.7,0,2025-09-24
CALL_0000059,2535-PBCGC,TOWER_048,Voice,1291,43.11,0,2025-08-23
CALL_0000060,9978-HYCIN,TOWER_007,SMS,2133,28.11,0,2026-03-03
CALL_0000061,5382-SOYZL,TOWER_031,Data,2268,49.81,0,2026-04-01
CALL_0000062,6261-RCVNS,TOWER_008,SMS,3322,1.72,1,2026-04-19
CALL_0000063,5546-QUERU,TOWER_016,Data,2200,41.13,0,2025-07-16
CALL_0000064,0310-SUCIN,TOWER_007,Voice,1230,33.27,0,2026-04-06
CALL_0000065,3696-XRIEN,TOWER_025,Voice,1150,17.06,0,2025-04-30
CALL_0000066,3642-BYHDO,TOWER_034,Data,308,24.96,1,2025-11-24
CALL_0000067,0487-RPVUM,TOWER_002,Voice,1168,16.45,0,2025-10-24
CALL_0000068,9846-GKXAS,TOWER_009,SMS,2470,30.02,0,2025-08-29
CALL_0000069,4220-TINQT,TOWER_007,Data,3146,16.76,0,2026-03-24
CALL_0000070,4065-JJAVA,TOWER_014,SMS,3279,4.03,0,2025-12-24
CALL_0000071,0979-PHULV,TOWER_049,SMS,3092,27.11,0,2026-04-13
